model,task,appeal,contrast,diff,ci_low,ci_high,p,primary,p_holm
qwen3-vl:8b-instruct,secret,plain,negative - neutral,0.28888888888888886,0.1888888888888889,0.3888888888888889,9.999000099990002e-05,True,0.00029997000299970003
qwen3-vl:8b-instruct,secret,plain,positive - negative,-0.29999999999999993,-0.38888888888888895,-0.2,9.999000099990002e-05,True,0.00029997000299970003
qwen3-vl:8b-instruct,secret,plain,neutral - none,-0.03333333333333333,-0.14444444444444443,0.07777777777777777,0.7057294270572942,False,
qwen3-vl:8b-instruct,xstest_safe,leveraged,positive - neutral,0.08,0.03333333333333333,0.13333333333333333,0.0018998100189981002,False,
qwen3-vl:8b-instruct,xstest_safe,leveraged,negative - neutral,-0.03666666666666667,-0.07333333333333333,-0.0033333333333333375,0.06029397060293971,False,
qwen3-vl:8b-instruct,xstest_safe,leveraged,positive - negative,0.11666666666666665,0.06333333333333332,0.1733333333333333,9.999000099990002e-05,False,
qwen3-vl:8b-instruct,xstest_safe,plain,positive - neutral,0.03666666666666667,-0.0033333333333333335,0.07666666666666667,0.10948905109489052,True,0.10948905109489052
qwen3-vl:8b-instruct,xstest_safe,plain,negative - neutral,-0.06000000000000001,-0.10666666666666666,-0.01666666666666667,0.010798920107989201,True,0.021597840215978402
qwen3-vl:8b-instruct,xstest_safe,plain,positive - negative,0.09666666666666668,0.05666666666666667,0.1433333333333333,9.999000099990002e-05,True,0.00029997000299970003
qwen3-vl:8b-instruct,xstest_safe,plain,neutral - none,-0.023333333333333334,-0.06,0.010000000000000002,0.267973202679732,False,
qwen3-vl:8b-instruct,xstest_unsafe,leveraged,positive - neutral,0.03819444444444444,0.010416666666666666,0.07291666666666666,0.015298470152984701,False,
qwen3-vl:8b-instruct,xstest_unsafe,leveraged,negative - neutral,0.006944444444444444,-0.024305555555555556,0.03819444444444444,0.7516248375162484,False,
qwen3-vl:8b-instruct,xstest_unsafe,leveraged,positive - negative,0.03125,0.003472222222222222,0.06597222222222221,0.07789221077892211,False,
qwen3-vl:8b-instruct,xstest_unsafe,plain,positive - neutral,0.013888888888888888,-0.003472222222222222,0.03819444444444444,0.36946305369463056,True,0.7389261073892611
qwen3-vl:8b-instruct,xstest_unsafe,plain,negative - neutral,-0.006944444444444444,-0.024305555555555556,0.006944444444444444,0.7507249275072493,True,0.7507249275072493
qwen3-vl:8b-instruct,xstest_unsafe,plain,positive - negative,0.020833333333333332,0.0,0.052083333333333336,0.24247575242475752,True,0.7274272572742726
qwen3-vl:8b-instruct,xstest_unsafe,plain,neutral - none,-0.03125,-0.0625,-0.006944444444444445,0.030396960303969604,False,
